STATE,CONSTITUENCY,WINNER,PARTY,SYMBOL,GENDER,CRIMINAL CASES,AGE,CATEGORY,EDUCATION,TOTAL VOTES,TOTAL ELECTORS,ASSETS,LIABILITIES
Assam,AUTONOMOUS DISTRICT,0,43,Table,1,0,61.0,3,4,36915,795945,53785471,5000000
Assam,AUTONOMOUS DISTRICT,0,35,Book,1,0,39.0,3,7,10037,795945,6830962,1606436
Uttar Pradesh,AZAMGARH,1,12,Bicycle,1,0,45.0,1,8,621578,1789168,377859166,2853000
Uttar Pradesh,AZAMGARH,0,1,Lotus,1,1,40.0,1,1,361704,1789168,59380841,5415364
Uttar Pradesh,BADAUN,0,1,Lotus,2,2,34.0,1,8,511352,1891576,40372093,0
Uttar Pradesh,BADAUN,0,12,Bicycle,1,3,40.0,1,2,492898,1891576,118688322,26510293
Uttar Pradesh,BADAUN,0,3,Hand,1,5,66.0,1,4,51947,1891576,763872000,5000000
Karnataka,BAGALKOT,1,1,Lotus,1,0,68.0,1,8,664638,1704010,43980663,7987991
Karnataka,BAGALKOT,0,3,Hand,2,0,38.0,1,4,496451,1704010,78375219,26784734
Uttar Pradesh,BAGHPAT,1,1,Lotus,1,1,63.0,1,2,525789,1616476,78195793,0
Uttar Pradesh,BAGHPAT,0,44,Hand Pump,1,0,40.0,1,2,502287,1616476,275023812,29242618
West Bengal,BAHARAMPUR,1,3,Hand,1,7,63.0,1,6,591106,1638378,101315437,8506984
West Bengal,BAHARAMPUR,0,10,Flowers and Grass,1,9,55.0,1,1,510410,1638378,47930322,2119820
West Bengal,BAHARAMPUR,0,1,Lotus,1,0,55.0,1,4,143038,1638378,6200,0
West Bengal,BAHARAMPUR,0,18,Bead Necklace,1,0,38.0,2,7,13682,1638378,10200,0
West Bengal,BAHARAMPUR,0,11,Spade & Stoker,1,0,66.0,1,4,13362,1638378,3968029,322779
Uttar Pradesh,BAHRAICH,1,1,Lotus,1,0,73.0,2,6,525982,1729908,45691463,3028133
Uttar Pradesh,BAHRAICH,0,12,Bicycle,1,1,60.0,2,1,397230,1729908,11162030,0
Uttar Pradesh,BAHRAICH,0,3,Hand,2,7,38.0,2,4,34454,1729908,3046772,0
Madhya Pradesh,BALAGHAT,1,1,Lotus,1,0,66.0,1,5,696102,1767725,88648133,1530693
Madhya Pradesh,BALAGHAT,0,3,Hand,1,0,53.0,1,1,454036,1767725,10237135,0
